Area,T Sub,D Sub,ID,Longitude,Latitude,Substation Number,Substation Name
p110u,p110uhs0_1247_69,p110uhs0_1247,p110ulv16,-96.64749111,32.71385663,1310,BALCH SPRINGS 1
p110u,p110uhs1_1247_69,p110uhs1_1247,p110ulv72,-96.59738009,32.69604427,1311,BALCH SPRINGS 2
p110u,p110uhs2_1247_69,p110uhs2_1247,p110ulv4,-96.69730147,32.64019386,1312,WILMER 2
p110u,p110uhs3_1247_69,p110uhs3_1247,p110ulv191,-96.54847209,32.58858503,1313,SEAGOVILLE 1
p110u,p110uhs4_1247_69,p110uhs4_1247,p110ulv124,-96.61678025,32.63966831,1314,WILMER 3
p110u,p110uhs5_1247_69,p110uhs5_1247,p110ulv48,-96.61780984,32.71392932,1316,BALCH SPRINGS 3
p110u,p110uhs6_1247_69,p110uhs6_1247,p110ulv166,-96.53970739,32.65055359,1315,SEAGOVILLE 2
p111u,p111uhs0_1247_69,p111uhs0_1247,p111ulv4,-96.90478918,32.7883014,1317,DALLAS 1
p111u,p111uhs10_1247_69,p111uhs10_1247,p111ulv148,-96.9089142,32.72513955,1324,DUNCANVILLE 2
p111u,p111uhs11_1247_69,p111uhs11_1247,p111ulv53,-96.90338873,32.76373813,1328,DUNCANVILLE 4
p111u,p111uhs12_1247_69,p111uhs12_1247,p111ulv146,-96.86194055,32.74041824,1338,DALLAS 13
p111u,p111uhs13_1247_69,p111uhs13_1247,p111ulv211,-96.87777616,32.70514585,1337,DUNCANVILLE 8
p111u,p111uhs14_1247_69,p111uhs14_1247,p111ulv719,-96.82636894,32.769241,1319,DALLAS 2
p111u,p111uhs15_1247_69,p111uhs15_1247,p111ulv158,-96.92260444,32.70127125,1335,DUNCANVILLE 6
p111u,p111uhs16_1247_69,p111uhs16_1247,p111ulv465,-96.95220576,32.75025372,1332,GRAND PRAIRIE 1
p111u,p111uhs17_1247_69,p111uhs17_1247,p111ulv164,-96.89509871,32.72874102,1327,DUNCANVILLE 3
p111u,p111uhs18_1247_69,p111uhs18_1247,p111ulv201,-96.87109417,32.7220959,1336,DUNCANVILLE 7
p111u,p111uhs19_1247_69,p111uhs19_1247,p111ulv807,-96.78889547,32.76266923,1333,DALLAS 11
p111u,p111uhs1_1247_69,p111uhs1_1247,p111ulv222,-96.88801812,32.70143195,1318,DUNCANVILLE 1
p111u,p111uhs20_1247_69,p111uhs20_1247,p111ulv346,-96.83544643,32.73288415,1339,DALLAS 14
p111u,p111uhs21_1247_69,p111uhs21_1247,p111ulv123,-96.85970359,32.74305057,1338,DALLAS 13
p111u,p111uhs22_1247_69,p111uhs22_1247,p111ulv345,-96.84398399,32.73266967,1329,DALLAS 9
p111u,p111uhs2_1247_69,p111uhs2_1247,p111ulv273,-96.8445899,32.76169218,1319,DALLAS 2
p111u,p111uhs3_1247_69,p111uhs3_1247,p111ulv1679,-96.87964816,32.81475067,1320,DALLAS 3
p111u,p111uhs4_1247_69,p111uhs4_1247,p111ulv243,-96.85020706,32.77829084,1321,DALLAS 4
p111u,p111uhs5_1247_69,p111uhs5_1247,p111ulv353,-96.8314802,32.74716235,1339,DALLAS 14
p111u,p111uhs6_1247_69,p111uhs6_1247,p111ulv8369,-96.88518038,32.77294704,1323,DALLAS 6
p111u,p111uhs7_1247_69,p111uhs7_1247,p111ulv58,-96.92447091,32.73488405,1324,DUNCANVILLE 2
p111u,p111uhs8_1247_69,p111uhs8_1247,p111ulv74,-96.86945847,32.7610954,1325,DALLAS 7
p111u,p111uhs9_1247_69,p111uhs9_1247,p111ulv3,-96.86055096,32.80771763,1326,DALLAS 8
p112u,p112uhs0_1247_69,p112uhs0_1247,p112ulv198,-96.8778534,32.99053275,2515,CARROLLTON 9
p112u,p112uhs10_1247_69,p112uhs10_1247,p112ulv275,-96.81335703,33.03650873,2527,ADDISON 16
p112u,p112uhs11_1247_69,p112uhs11_1247,p112ulv670,-96.86907539,33.02301771,2522,CARROLLTON 10
p112u,p112uhs12_1247_69,p112uhs12_1247,p112ulv7,-96.94184913,33.04649192,2528,THE COLONY 3
p112u,p112uhs13_1247_69,p112uhs13_1247,p112ulv100,-96.90711073,33.01357157,2529,CARROLLTON 12
p112u,p112uhs14_1247_69,p112uhs14_1247,p112ulv455,-96.874071,32.9603938,2523,ADDISON 13
p112u,p112uhs1_1247_69,p112uhs1_1247,p112ulv39,-96.88989211,33.04172151,2516,THE COLONY 1
p112u,p112uhs2_1247_69,p112uhs2_1247,p112ulv403,-96.88584732,32.98243509,2524,CARROLLTON 11
p112u,p112uhs3_1247_69,p112uhs3_1247,p112ulv365,-96.798129,33.00137866,2517,ADDISON 9
p112u,p112uhs4_1247_69,p112uhs4_1247,p112ulv453,-96.85896104,32.96537405,2525,ADDISON 14
p112u,p112uhs5_1247_69,p112uhs5_1247,p112ulv237,-96.84764013,33.06897368,2883,FRISCO 9
p112u,p112uhs6_1247_69,p112uhs6_1247,p112ulv206,-96.86662959,32.99981913,2515,CARROLLTON 9
p112u,p112uhs7_1247_69,p112uhs7_1247,p112ulv292,-96.83815974,33.01091695,2526,ADDISON 15
p112u,p112uhs8_1247_69,p112uhs8_1247,p112ulv18087,-96.87627513,33.06200346,2520,THE COLONY 2
p112u,p112uhs9_1247_69,p112uhs9_1247,p112ulv486,-96.79878179,32.98298608,2521,ADDISON 12
p113u,p113uhs0_1247_69,p113uhs0_1247,p113ulv424,-96.60448521,33.19376138,2532,MCKINNEY 2
p113u,p113uhs10_1247_69,p113uhs10_1247,p113ulv120,-96.72736028,33.19369525,2542,PROSPER 5
p113u,p113uhs12_1247_69,p113uhs12_1247,p113ulv355,-96.6728438,33.19324554,2531,MCKINNEY 1
p113u,p113uhs14_1247_69,p113uhs14_1247,p113ulv258,-96.70526085,33.16967356,2551,PLANO 2
p113u,p113uhs15_1247_69,p113uhs15_1247,p113ulv149,-96.74034394,33.18955744,2538,PROSPER 2
p113u,p113uhs17_1247_69,p113uhs17_1247,p113ulv380,-96.67598601,33.17551446,2544,MCKINNEY 8
p113u,p113uhs19_1247_69,p113uhs19_1247,p113ulv495,-96.56436303,33.19216083,2546,MCKINNEY 9
p113u,p113uhs1_1247_69,p113uhs1_1247,p113ulv142,-96.76649601,33.17805557,2530,PROSPER 1
p113u,p113uhs20_1247_69,p113uhs20_1247,p113ulv2,-96.69976821,33.12955781,2643,PLANO 17
p113u,p113uhs2_1247_69,p113uhs2_1247,p113ulv193,-96.69264664,33.19428167,2531,MCKINNEY 1
p113u,p113uhs3_1247_69,p113uhs3_1247,p113ulv1006,-96.60287768,33.1794313,2532,MCKINNEY 2
p113u,p113uhs4_1247_69,p113uhs4_1247,p113ulv490,-96.62370538,33.16749383,2533,MCKINNEY 3
p113u,p113uhs5_1247_69,p113uhs5_1247,p113ulv247,-96.76038946,33.14693419,2640,PLANO 14
